,state
347,Sao Paulo
348,Rio de Janeiro
349,Mato Grosso
350,Espirito Santo
351,Santa Catarina
352,Parana
353,Parana
354,Goias
355,Sao Paulo
356,Rio Grande do Sul
357,Minas Gerais
358,Rio Grande do Norte
359,Alagoas
360,Paraiba
361,Sao Paulo
362,Bahia
363,Minas Gerais
364,Sao Paulo
365,Paraiba
366,Rondonia
367,Maranhao
368,Rio Grande do Sul
369,Parana
370,Maranhao
371,Parana
372,Amazonas
373,Sergipe
374,Bahia
375,Parana
376,Sao Paulo
377,Minas Gerais
378,Sao Paulo
379,Parana
380,Rio de Janeiro
381,Sao Paulo
382,Paraiba
383,Pernambuco
384,Rio Grande do Sul
385,Sao Paulo
386,Santa Catarina
387,Ceara
388,Pernambuco
389,Sao Paulo
390,Pernambuco
391,Sao Paulo
392,Rio Grande do Sul
393,Minas Gerais
394,Sao Paulo
395,Bahia
396,Sao Paulo
397,Tocantins
398,Paraiba
399,Minas Gerais
400,Goias
401,Acre
402,Sao Paulo
403,Rio de Janeiro
404,Sao Paulo
405,Parana
406,Santa Catarina
407,Mato Grosso
408,Minas Gerais
409,Minas Gerais
410,Amazonas
411,Sergipe
412,Rio Grande do Sul
413,Santa Catarina
414,Parana
415,Sao Paulo
416,Parana
417,Sao Paulo
418,Santa Catarina
419,Rio Grande do Sul
420,Minas Gerais
421,Minas Gerais
422,Rio Grande do Sul
423,Santa Catarina
424,Pernambuco
425,Rio Grande do Norte
426,Rondonia
427,Minas Gerais
428,Santa Catarina
429,Santa Catarina
430,Minas Gerais
431,Piaui
432,Maranhao
433,Ceara
434,Bahia
435,Bahia
436,Espirito Santo
437,Piaui
438,Sao Paulo
439,Amazonas
440,Goias
441,Piaui
442,Ceara
443,Maranhao
444,Minas Gerais
445,Bahia
446,Sao Paulo
447,Sao Paulo
448,Sao Paulo
449,Santa Catarina
450,Bahia
451,Sao Paulo
452,Sao Paulo
453,Minas Gerais
454,Goias
455,Santa Catarina
456,Pernambuco
457,Minas Gerais
458,Minas Gerais
459,Minas Gerais
460,Sao Paulo
461,Rio Grande do Sul
462,Santa Catarina
463,Sao Paulo
464,Pernambuco
465,Sao Paulo
466,Sao Paulo
467,Minas Gerais
468,Rio Grande do Sul
469,Sao Paulo
470,Minas Gerais
471,Minas Gerais
472,Bahia
473,Rio Grande do Sul
474,Sao Paulo
475,Minas Gerais
476,Sao Paulo
477,Rio Grande do Sul
478,Rio Grande do Sul
479,Mato Grosso do Sul
480,Pernambuco
481,Parana
482,Amazonas
483,Bahia
484,Sao Paulo
485,Paraiba
486,Pernambuco
487,Bahia
488,Rio Grande do Sul
489,Sao Paulo
490,Amazonas
491,Rio Grande do Sul
492,Minas Gerais
493,Espirito Santo
494,Sergipe
495,Santa Catarina
496,Parana
497,Parana
498,Rio de Janeiro
499,Minas Gerais
500,Rio Grande do Sul
501,Rio de Janeiro
502,Rio Grande do Sul
503,Rio de Janeiro
504,Sao Paulo
505,Amazonas
506,Bahia
507,Sao Paulo
508,Minas Gerais
509,Amazonas
510,Santa Catarina
511,Parana
512,Paraiba
513,Minas Gerais
514,Amazonas
515,Pernambuco
516,Sao Paulo
517,Bahia
518,Minas Gerais
519,Espirito Santo
520,Minas Gerais
521,Minas Gerais
522,Bahia
523,Ceara
524,Bahia
525,Sao Paulo
526,Minas Gerais
527,Minas Gerais
528,Sao Paulo
529,Minas Gerais
530,Sao Paulo
531,Santa Catarina
532,Maranhao
533,Pernambuco
534,Pernambuco
535,Ceara
536,Maranhao
537,Santa Catarina
538,Sergipe
539,Sao Paulo
540,Bahia
541,Parana
542,Rio Grande do Sul
543,Bahia
544,Minas Gerais
545,Goias
546,Mato Grosso do Sul
547,Ceara
548,Minas Gerais
549,Rondonia
550,Parana
551,Rio Grande do Sul
552,Ceara
553,Pernambuco
554,Minas Gerais
555,Rio de Janeiro
556,Minas Gerais
557,Pernambuco
558,Goias
559,Rio de Janeiro
560,Parana
561,Sao Paulo
562,Minas Gerais
563,Sao Paulo
564,Minas Gerais
565,Paraiba
566,Mato Grosso do Sul
567,Rondonia
568,Rio de Janeiro
569,Bahia
570,Sao Paulo
571,Sao Paulo
572,Minas Gerais
573,Santa Catarina
574,Bahia
575,Parana
576,Rio Grande do Norte
577,Sao Paulo
578,Sao Paulo
579,Mato Grosso do Sul
580,Mato Grosso do Sul
581,Maranhao
582,Maranhao
583,Minas Gerais
584,Amazonas
585,Maranhao
586,Goias
587,Amazonas
588,Maranhao
589,Sao Paulo
590,Maranhao
591,Sao Paulo
592,Minas Gerais
593,Sao Paulo
594,Mato Grosso do Sul
595,Minas Gerais
596,Paraiba
597,Paraiba
598,Rondonia
599,Rio de Janeiro
600,Sao Paulo
601,Minas Gerais
602,Minas Gerais
603,Pernambuco
604,Sao Paulo
605,Amazonas
606,Paraiba
607,Sao Paulo
608,Sao Paulo
609,Sao Paulo
610,Rio de Janeiro
611,Minas Gerais
612,Maranhao
613,Sao Paulo
614,Maranhao
615,Sao Paulo
616,Sao Paulo
617,Espirito Santo
618,Bahia
619,Sao Paulo
620,Minas Gerais
621,Sao Paulo
622,Minas Gerais
623,Minas Gerais
624,Espirito Santo
625,Sao Paulo
626,Para
627,Ceara
628,Minas Gerais
629,Bahia
630,Sao Paulo
631,Pernambuco
632,Bahia
633,Rio Grande do Sul
634,Sao Paulo
635,Minas Gerais
636,Sao Paulo
637,Rio Grande do Sul
638,Sao Paulo
639,Amazonas
640,Amazonas
641,Minas Gerais
642,Minas Gerais
643,Minas Gerais
644,Parana
645,Espirito Santo
646,Parana
647,Sergipe
648,Pernambuco
649,Sao Paulo
650,Maranhao
651,Sao Paulo
652,Sao Paulo
653,Parana
654,Santa Catarina
655,Sao Paulo
656,Minas Gerais
657,Rondonia
658,Ceara
659,Maranhao
660,Rio de Janeiro
661,Bahia
662,Rio de Janeiro
663,Sao Paulo
664,Minas Gerais
665,Mato Grosso do Sul
666,Maranhao
667,Rondonia
668,Parana
669,Sao Paulo
670,Santa Catarina
671,Bahia
672,Bahia
673,Rondonia
674,Rio de Janeiro
675,Rondonia
676,Sao Paulo
677,Parana
678,Minas Gerais
679,Sao Paulo
680,Sao Paulo
681,Parana
682,Rondonia
683,Maranhao
684,Bahia
685,Maranhao
686,Sao Paulo
687,Piaui
688,Sao Paulo
689,Rio Grande do Sul
690,Goias
691,Sao Paulo
692,Paraiba
693,Minas Gerais
694,Santa Catarina
695,Minas Gerais
696,Minas Gerais
697,Rio de Janeiro
698,Sao Paulo
699,Rio Grande do Sul
700,Sao Paulo
701,Sergipe
702,Sao Paulo
703,Pernambuco
704,Parana
705,Minas Gerais
706,Sergipe
707,Goias
708,Minas Gerais
709,Rio de Janeiro
710,Sao Paulo
711,Rio Grande do Sul
712,Rio Grande do Sul
713,Rondonia
714,Sao Paulo
715,Minas Gerais
716,Rio Grande do Sul
717,Sao Paulo
718,Minas Gerais
719,Maranhao
720,Santa Catarina
721,Sao Paulo
722,Espirito Santo
723,Parana
724,Sergipe
725,Rio Grande do Norte
726,Piaui
727,Minas Gerais
728,Rio Grande do Sul
729,Sao Paulo
730,Sao Paulo
731,Sao Paulo
732,Sao Paulo
733,Sao Paulo
734,Rio Grande do Sul
735,Rio de Janeiro
736,Sao Paulo
737,Para
738,Santa Catarina
739,Bahia
740,Santa Catarina
741,Rio de Janeiro
742,Minas Gerais
743,Parana
